brand,category,avg_sentiment,review_count
Meguiars,Home,0.5815738461538462,65
Clear Scalp & Hair Therapy,Personal Care,0.5810090185676393,377
Lionsgate,Movies & TV Shows,0.5795861063464838,583
Caress,Personal Care,0.5770073529411764,68
Australian Gold,Personal Care,0.571354054054054,37
Hollywood Beauty,Personal Care,0.5703333333333334,6
Chex,Food,0.5696448275862069,29
Sea Gull Lighting,Home,0.5695428571428571,7
Reebok,Clothing,0.5695,5
Bounce,Household Chemicals,0.5691712643678161,87
Lady Mitchum,Personal Care,0.5683451612903226,31
FOX,Movies,0.5669470997059609,3741
MaraNatha,Food,0.5663789473684211,19
Safavieh,Home,0.56626,5
The Seaweed Bath Co.,Personal Care,0.5662333333333334,9
Nesco,Kitchen & Dining,0.56502,10
Lumisource,Home,0.5634709677419355,31
Lean Cuisine,Food,0.5591475247524752,101
Lionsgate Home Entertainment,Movies,0.5572645833333333,48
Sony,Electronics,0.5563846796657381,359
Finish,Household Essentials,0.5559069767441861,43
Foodsaver,Kitchen & Dining,0.5541502555366269,587
Fiber One,Food & Beverage,0.5540392857142857,28
Chester's,Food,0.5536491620111732,179
Hawaiian Punch,Food,0.5517170454545455,88
International Delight,Food,0.550910447761194,67
Idesign,Kitchen & Dining,0.5505882352941176,17
Quilted Northern,Household Essentials,0.550408617095205,1439
Stander,Health,0.5500076923076923,13
Johnson's,Personal Care,0.54996875,16
Eggo,Food & Beverage,0.5486740740740741,27
Solo Foods,Food,0.5461230769230769,13
Badger,Personal Care,0.54384,5
Nearly Natural,Home,0.53811,10
Neutrogena,Personal Care,0.534760396039604,101
Mario Badescu,Personal Care,0.53308,5
Lemi Shine,Household Essentials,0.5288394799054373,423
CoverGirl,Personal Care,0.5284366666666667,30
Yes to Grapefruit,Personal Care,0.5273025641025642,39
Sizzix,Home,0.52679375,16
Sony Pictures,Movies,0.525920083294771,2161
Cinnamon Toast Crunch,Food,0.5244472440944882,127
Tillamook,Food,0.5224,6
Pantene,Beauty,0.5218419006479481,463
Tide,Household Essentials,0.5218324757004001,3498
Cetaphil,Beauty,0.5203744680851063,47
CeraVe,Personal Care,0.516072,25
American Atelier,Holiday Shop,0.5118458333333333,24
Stridex,Personal Care,0.5088473684210527,19
Queen Helene,Personal Care,0.508675,16
Pendaflex,School & Office Supplies,0.5078940217391305,368
Just For Men,Personal Care,0.5061973557692308,416
American Crew,Personal Care,0.5014608695652174,23
Canada Dry,Food & Beverage,0.5014069767441861,43
Summer's Eve,Personal Care,0.5011714285714286,35
4C Foods,Food,0.5000333333333333,6
Progresso,Food,0.5000034482758621,29
Cerave,Beauty,0.49240666666666666,15
Ragu,Food,0.4915816666666667,60
Bisquick,Food & Beverage,0.48823838383838386,99
Planters,Food,0.4833095238095238,42
Sally Hansen,Personal Care,0.482146218487395,119
Universal,Movies & TV Shows,0.4804,6
Metzeler,Auto & Tires,0.48033076923076923,13
Tostitos,Food,0.4775299651567944,287
Chips Ahoy,Food & Beverage,0.47707183098591555,71
Holmes,Home,0.47259375000000003,32
Soothing Touch,Personal Care,0.46984999999999993,6
Sc252nci,Featured Brands,0.46963,10
Murray Cookies,Food,0.46763333333333335,6
BETTER BUILT,Auto & Tires,0.46612499999999996,12
Spam,Food,0.46555,8
Mitchum,Personal Care,0.46139090909090913,11
Windex,Household Essentials,0.460196551724138,348
Lysol,Household Chemicals,0.45914732142857145,336
Attitude,Household Chemicals,0.4576833333333334,6
Super PoliGrip,Personal Care,0.4574416666666667,24
Biore,Personal Care,0.4564725,40
Fiskars,Home,0.45434,5
Air Wick,Household Essentials,0.4542,20
Opti-Free,Personal Care,0.45079865470852015,223
Maybelline,Personal Care,0.44949150943396227,742
Soft Scrub,Household Chemicals,0.448575,8
Nojo,Baby,0.44806250000000003,8
Kohler,Home Improvement,0.44753750000000003,8
STACY'S,Food,0.4454461538461538,26
Kikkoman,Food,0.44492000000000004,5
Chobani,Food & Beverage,0.43972,25
Keri,Personal Care,0.432856,25
D-Con,Household Essentials,0.43078571428571427,7
Anti Monkey Butt,Personal Care,0.42875882352941175,68
Hugo Naturals,Personal Care,0.4286,11
Vicks,Personal Care,0.4283686868686869,99
Samsung,Mobile,0.42823597560975607,328
Lite Source,Home,0.4267875,8
Early California,Food,0.42667647058823527,17
Moom,Personal Care,0.42546,5
Newman's Own,Food,0.42262727272727274,11
Jerdon,Beauty,0.41513333333333335,9
Orajel,Personal Care,0.40878196721311477,61
Bengay,Personal Care,0.40586666666666665,9
Oxy,Personal Care,0.3997833333333333,12
Olly,Health,0.3943535714285714,28
Wheat Thins,Food,0.389775,12
Colorbok,Home,0.3892538461538461,13
Hormel,Food,0.3877872509960159,251
Biotene,Personal Care,0.37195084745762713,177
Musselman's,Food,0.371625,8
OxiClean,Household Chemicals,0.35689130434782607,138
Pioneer,Home,0.3547666666666667,12
Michelin,Auto & Tires,0.3452090909090909,11
All-Bran,Food,0.34306363636363635,11
Nielsen,Home,0.33750833333333335,12
Obagi,Personal Care,0.32174,10
Aveeno,Personal Care,0.31697828054298643,442
Rubbermaid,Household Essentials,0.3136039711191336,1939
Plano,Sports & Outdoors,0.3014,5
Nordic Games,Video Games,0.29793333333333333,12
Bestway,Sports & Outdoors,0.2960875,8
Tai Pei,Food,0.29529,20
Wagan,Home,0.29274,5
Attwood,Sports & Outdoors,0.27875,6
K-Y,Personal Care,0.2564666666666667,27
Rubbermaid Lock-Its,Kitchen & Dining,0.2524142857142857,14
Arrid,Personal Care,0.24701666666666666,18
Hidden Valley,Food & Beverage,0.23258,5
Mars,Food & Beverage,0.21525,10
Gain,Household Essentials,0.1998333333333334,6
Feit,Home,0.1756111111111111,9
Nexxus,Personal Care,0.15132069857697283,773
Klondike,Food,0.12582,5
Karaoke Usa,Musical Instruments & Karaoke,0.08888000000000003,5
Newman's Own Organics,Food,0.07409999999999999,6
Suncoat,Personal Care,-0.012480000000000002,5
Lay's,Food,-0.08679999999999999,6
